paulananya,Software Engineer,"Aviso, Inc",Jul 2015 – May 2017,"Hyderabad Area, India","- Developed configure UI, facilitating faster configuration changes for dynamic customer requestsConducted qualitative interviews of data science and customer service teams to identify gaps in customer onboarding; launched Configure UI to reduce onboarding time from 48 hours to 3 hours- Designed and implemented Zero Downtime Configuration (w/ AMI Bakery) in collaboration with other engineers that reduced time to launch and setup a node from 30 to 5 minutes- Setup continuous monitoring through OSSEC, New Relic and other scripts by plugging into PagerDuty, delivering 100% availability of the Aviso App for 15 months- Researched and evaluated various data analytics tools for front-end; integrated New Relic and MixPanel to support business teams to make infrastructure decisions   -Upgraded an entire application to new color and style, ensuring consistency of the new look & feel across the entire product.- Designed and implemented Feature Enablement Panel, to enable and configure various features for different tenants,  facilitating faster configuration changes for the frequent dynamic customer requests.- Created a monitoring mechanism for the health status of web and worker nodes of each stack, as part of the OpCenter Project, used internally to maintain infrastructure.

    
…

        see more"
paulananya,Project Engineering Intern,Variable Energy Cyclotron Centre (vecc),Aug 2014 – Jul 2015,"Kolkata Area, India","Project title: PacketFence Network monitoring systemProject description: PacketFence is an open source network access control solution. Using PacketFence the access of the devices, connected on LAN (Local Area Network), can be controlled. Current version of PacketFence does not provide GUI based Network Monitoring facility.Network monitoring system is used for continuously monitoring the devices connected in the network and that notifying the network administrator in case of outages. It is part of network management.Using the network monitoring system the user can be able to know which devices are connected with each other, connected with the LAN (Local Area Network), router, switch and different workplaces. With the help of NMS user can be able to see/monitor the whole networking systems such as switches, routers, different workplaces and user can also monitor the connectivity of other devices in the graphical form which help user/network administrator to take necessary action for diagnosing the actual problem if occurred.This project is developed using JAVA language for the front-end and Mysql as backend database. The NMS application makes SNMP queries with networking devices for getting the current information of the network devices. For Implementing SNMP query features in the project SNMP4j package is used and for implementing GUI based features open source version of JGRAPH package is used.The project helps to understand the networking devices and its functionality. It also helps to understand network security related issues.

    
…

        see more"
paulananya,Engineering Intern,Polaris Networks,Jun 2014 – Aug 2014,"Kolkata Area, India","Project title: Enhancement of License Utility SuiteProject description: License Utility Suite is the software, developed by Dynamic Digital Technology, for distribution and management of the licenses for its telecom software products. The License Utility Suite generates and verifies licenses and remotely delivers licensing access to the customers / evaluating customers of Dynamic Digital Technology.The work involves understanding the licensing mechanism used by the License Utility Suite, which includes in-depth understanding of several cryptographic techniques; the knowledge of hardware (USB dongle) based licensing is acquired. For enhancement and maintenance of the License Utility Suite, knowledge of C++ and MFC is acquired.

    
…

        see more"
jamie-yu-3348434b,Associate Data Scientist,Integral Ad Science,Aug 2019 – Present,Greater New York City Area,ML for AdTech applications
jamie-yu-3348434b,"Data Science Intern, Recommendation Systems Team",WeWork,Jun 2018 – Aug 2018,Greater New York City Area,"• Implemented Implicit Matrix Factorization (IMF) to create algorithm to recommend WeWork app users to other users to foster networking opportunities• Prototyped a hybrid collaborative filtering and content recommendation algorithm using LightFM• Explored Discounted Cumulative Rate(DCG@k) as a metric to measure ranking quality on app feed; explored various discount, gain, and k values and their affect on the overall DCG metric• Utilized SQL to explore and obtain data from redshift database necessary for data science and data analysis projects

    
…

        see more"
jamie-yu-3348434b,Lead Community Coordinator,Cru,May 2014 – Jun 2016,East Asia,"• Raised $45,000 (annually for a total of $90,000 raised) within 2 months by building a partnership network of 150 individual donors through cold calling, public presentations, in-person meetings, etc.• Coordinated and facilitated a wide range of student life events for local college students that promoted cultural awareness training, community service• Recruited, trained, and mentored student leaders over organizational leadership, grassroots movement building, cultural diversity and inclusion training, English speaking and writing, etc. • Drafted monthly newsletters using Adobe Spark to provide organizational updates and audience engagement to partnership network, highlighting key events and reporting overall progress• Organized finances, lodging, transportation, and schedule for humanitarian aid trips to different parts of East Asia

    
…

        see more"
jamie-yu-3348434b,Research Intern,Lamont-Doherty Earth Observatory,Jun 2012 – May 2014,Greater New York City Area,"• Conducted field research at Black Rock Forest to study the respiratory response to changing temperature at three different latitudinal ranges• Measured relevant leaf traits and respiratory responses such as Q10(temperature sensitivity), CNR(carbon to nitrogen ratio), and E0(activation energy) to provide different data benchmarks for tree species in different latitudes• Utilized statistics methods such as ANOVA, t-test, Tukey Contrasts, and data normalization on collected data• Collaborated with fellow researchers on a published research paper documenting our findings

    
…

        see more"
yun-zhang3384,Data Analytics Intern,KLA,Jun 2019 – Aug 2019,California,"Worked with multi-sectors in a global environment to derive a statistical decision-making point by developing algorithms for Big Data analysis from project development to real-life industrial implementation.-	Designed and developed a time series data analysis methodology for tool to tool performance matching to generate service action plan for specific adjustment, calibration and diagnostic.-	Performed graphical visualization and statistical analysis of historic data for tool health with Python.-	Utilized DBScan outlier detection algorithm to remove outliers and optimized for outlier analysis accuracy improvement.-	Developed rolling method to further filter data and compared group mean and variance based on various assumptions. -	Hosted routine meeting and presented to stakeholders across organization with knowledge share, progress update and demo.

    
…

        see more"
yun-zhang3384,Research Assistant,Fidelity International,Jul 2017 – Jul 2018,"Dalian, Liaoning, China","Provided data insights for actionable solutions and executable strategies for business.- Fit a multiple linear regression model to analyze the data of per capita disposable income, consumer price index, employment rate, urbanization rate and dependency ratio from the recent 30 years in order to forecast the GDP growth rate.- Optimized model by introducing ridge regression analysis as a solution to multicollinearity and selected the optimal penalty parameter by applying cross-validation to improve the accuracy of GDP growth rate prediction.- Utilized PCA to generate city development index rankings of 30+ Provinces of China based on component scores.- Collected and studied relevant data from 30+ enterprises and organizations by utilizing financial models in order to evaluate KPI.- Visualized the bond default occurrences of China geographically and chronologically, delivered trends prediction to fund managers straightforwardly.- Analyzed the data of bond default of China using time series, identified seasonality shifts and other movements related to location and industry.

    
…

        see more"
popov-v,Customer Success Specialist for AI Applications,Opex Analytics,Feb 2020 – Present,Greater Chicago Area,
popov-v,Data Scientist,Opex Analytics,Jul 2019 – Feb 2020,Greater Chicago Area,
popov-v,Applied Machine Learning Lead,The Learning Machine,Dec 2018 – Present,Greater New York City Area,"• Co-founded open source interactive website serves as an interactive textbookcontaining A-Z explanations of concepts and methods, algorithms and their codeimplementations from the fields of data science, machine learning, deep learning,natural language processing, statistics.• Designed and developed content and layout for users; active contributor and peerreviewer to contributors

    
…

        see more"
popov-v,ML Blog Author,"Medium
        Self-employed",Aug 2019 – Present,,• https://medium.com/machine-learning-eli5• Explaining complex concepts of Machine Learning and Data Science in layman terms.
popov-v,Private Tutor,PROFI.RU,Sep 2017 – Jun 2018,"Moscow, Russian Federation",• Preparing High School graduates for top Moscow technical universities entrance exams. • Subjects: Mathematics and Computer Science.
xiaohan-shen-2b909487,Member Of Technical Staff,Nutanix,Feb 2018 – Present,San Jose,code Java and Python REST APIs for gateway team
xiaohan-shen-2b909487,Software Engineer Internship,Symantec,May 2017 – Aug 2017,"Culver city, Los Angeles","➢ Participated in developing Norton safe identity and safe web browser extensions on Safari, Chrome and Firefox(all posted!) using shell commands(for MakeFile), browser APIs, JavaScript and Jasmine(for unit tests). ➢ Responsible for showing safety of website to users and blocking unsafe website. ➢ Discovered and fixed bugs from legacy code that allow unsafe website avoid blocking through special URL.

    
…

        see more"
fangyuchou1993,Intern,Genentech,Dec 2018 – Mar 2019,San Francisco Bay Area,
fangyuchou1993,Research Assistant Intern,Cornell Tech,Aug 2018 – Dec 2018,Greater New York City Area,Small Data Lab at Cornell Tech
fangyuchou1993,"Software Engineer, Machine Learning summer intern",Weill Cornell Medicine,Jun 2017 – Aug 2017,Greater New York City Area,
anna-mcgovern-75537627,Product Manager,Oscar Health,Oct 2018 – Present,Greater Los Angeles Area,
anna-mcgovern-75537627,Associate Product Manager,Oscar Health,Oct 2017 – Sep 2018,Greater New York City Area,"Built tools to help over 30,000 doctors and hospitals manage their practice and provide high quality care to our members. This includes taking a user-centric and data-driven approach to prioritize and deliver features and enhancements to our external provider website. Additionally, I support the Oscar call center with tools to optimize workflows and ensure that reps can easily answer questions from doctors.

    
…

        see more"
anna-mcgovern-75537627,Technical Chief of Staff,Oscar Health,May 2017 – Nov 2017,Greater New York City Area,"Partnered directly with CTO on strategic projects preparing the technology organization for large milestones and rollouts such as the annual insurance enrollment period. Managed day to day operations for 100 person technology organization including budget, performance review process, and initiatives to enhance team culture."
anna-mcgovern-75537627,"Program Manager, Assistant Vice President",Citi,Dec 2014 – Apr 2016,Greater New York City Area,"Managed CTO’s New York innovation lab; enabling innovation process across firm by facilitating rapid prototyping exercises, leading global crowd-sourced ideation campaigns and sharing best practices through training activities for 11,000 employees."
anna-mcgovern-75537627,Analyst,Citi,Jul 2013 – Nov 2014,Greater New York City Area,
anna-mcgovern-75537627,Analyst Intern,Citi,Jul 2011 – Dec 2012,Greater New York City Area,Completed two 6 month internships over a year and a half.
anna-mcgovern-75537627,Software Engineering Intern,Art Technology Group (Oracle),Jul 2010 – Dec 2010,Greater Boston Area,
bingdi-chunyu-1535a0b4,Data Analyst,"VICE Media
        Full-time",Feb 2020 – Present,"Brooklyn, New York",
bingdi-chunyu-1535a0b4,Data Analyst,"Capital One
        Contract",Nov 2019 – Jan 2020,,
bingdi-chunyu-1535a0b4,Data Scientist Intern,SiriusXM,Jun 2019 – Aug 2019,Greater New York City Area,"• Conducted 3 statistical tests on 300,000 stakeholders by executing Teradata SQL and R with the aim of measuring the effectiveness of marketing strategy• Gathered algorithmic requirements and statistical constructs that determine appropriate usage to execute analytic requests of business stakeholders• Delivered 2 final presentations to Marketing and QC team for optimization

    
…

        see more"
bingdi-chunyu-1535a0b4,Research Assistant,Fordham Gabelli School of Business,Aug 2018 – Mar 2019,Greater New York City Area,"•Web scraped over 50,000 runways reviews by 800 designers from Vogue.com and automated data extracting,transforming, loading (ETL) with Python Pandas•Proposed NLP model to analyze future fashion trends based on runaway reviews with NLTK•Applied K-means clustering model to quantify originality and similarity among numerous fashion weeks

    
…

        see more"
bingdi-chunyu-1535a0b4,Financial Management Associate,TaraPaige Group,Jul 2017 – Mar 2018,Greater New York City Area,"•Assessed 5 types of financial data ledgers from 5 hospitality groups via Excel VBA and Pivot Tables; compiled weeklyreports, visualized via Tableau, and made suggestions to stakeholders•Built interactive dashboards and stories utilizing over 15 types of Level of Details•Calculated quarterly budget of $1,000,000 and audited financial ledgers including profit and loss report•Analyzed and optimized click-through and conversion from social media platforms

    
…

        see more"
zhenwei-hanson-zhang-176a1a114,Software Engineer Intern,WeWork,May 2019 – Aug 2019,"New York, New York",
zhenwei-hanson-zhang-176a1a114,Application Developer,UNC School of Media and Journalism,Aug 2017 – Jul 2018,Chapel Hill,Developed IOS and Android news apps for nrcolumbus.com using Ionic. Design part of User Interface. Acted as liaison between developers and designers. Published application on the Apple store.
zhenwei-hanson-zhang-176a1a114,Student Technician,University of North Carolina at Chapel Hill,Aug 2015 – May 2018,IT Service Center,"Provide Walk-in support for clients and troubleshoot issues for clients, including software installs, mobile device configuration, machine check-in as well as knowledge surrounding potential technology purchasing"
zhenwei-hanson-zhang-176a1a114,Research Assistant,University of North Carolina at Chapel Hill,May 2017 – Feb 2018,Chapel Hill,Help develop online platform using JavaScript for students to write small programs and get graded automatically and share with professors and classmates.
zhenwei-hanson-zhang-176a1a114,Software Engineer Intern,Monikos,May 2017 – Aug 2017,"Chapel Hill, NC","Full-Stack developer. Works include front-end using JavaScript and Angular, database migration from MySQL to MongoDB and also UI and UX design."
zhenwei-hanson-zhang-176a1a114,Research Assistant,Fudan University,May 2016 – Aug 2016,"Shanghai City, China",Building models on risk management in financial markets and derivatives.
zhenwei-hanson-zhang-176a1a114,Photographer,The Daily Tar Heel,Aug 2015 – Aug 2016,"Chapel Hill, NC","Cover topics including sports, university, features."
alissa-wang-85842891,Data Analyst Intern - Advanced Data Analytics,Fidelity Investments,Jun 2019 – Aug 2019,Greater Boston Area,"Analyzed extensive vendor and internal data to evaluate fund ESG (environment, social, and governance) performanceCreated and deployed a fully functioning and interactive web application that produced analyses and visualizations based on user queries and ESG factor inputsUsed natural language processing to analyze litigation risks of consumer companies"
alissa-wang-85842891,Analyst,Shunwei Capital,Feb 2017 – Jul 2018,"Beijing, China","Sourced investment opportunities in consumer internet, IoT, industry 4.0, agriculture technology, etc.Collected and analyzed data to conduct industry and company researchCreated regression models to forecast companies’ user growth and revenue potentials"
alissa-wang-85842891,Summer Intern,PwC,Jun 2016 – Aug 2016,"Los Angeles, CA","Performed sampling and quantitative analyses regarding commercial loans and stock offerings, which supported in the GAAP-compliant reviewConducted research on the impact of “Brexit” on the financial services industry in the UK; published a report on PwC's internal circulation"
alissa-wang-85842891,Business Analyst Intern,Qualcomm,May 2015 – Aug 2015,"San Diego, CA",Summer 2013 & 2015Collected data on Brazilian mobile operators; established models for analyzing smartphone usage trend
alissa-wang-85842891,Research Intern,Fosun Group,May 2014 – Jul 2014,"Beijing, China",Conducted research into companies in the electronic commerce and health care industriesAnalyzed financial status and development potentials of the investment targets and offered investment advice to the TMT team
